year,dewp,temp,pres,iws,is,ir,month_sin,month_cos,hour_sin,hour_cos,cbwd_NE,cbwd_NW,cbwd_SE,cbwd_cv,pm2_5
2010,-16,-4.0,1020.0,1.79,0,0,0.49999999999999994,0.8660254037844387,0.0,1.0,0,0,1,0,129.0
2010,-15,-4.0,1020.0,2.68,0,0,0.49999999999999994,0.8660254037844387,0.25881904510252074,0.9659258262890683,0,0,1,0,148.0
2010,-11,-5.0,1021.0,3.57,0,0,0.49999999999999994,0.8660254037844387,0.49999999999999994,0.8660254037844387,0,0,1,0,159.0
2010,-7,-5.0,1022.0,5.36,1,0,0.49999999999999994,0.8660254037844387,0.7071067811865475,0.7071067811865476,0,0,1,0,181.0
2010,-7,-5.0,1022.0,6.25,2,0,0.49999999999999994,0.8660254037844387,0.8660254037844386,0.5000000000000001,0,0,1,0,138.0
2010,-7,-6.0,1022.0,7.14,3,0,0.49999999999999994,0.8660254037844387,0.9659258262890683,0.25881904510252074,0,0,1,0,109.0
2010,-7,-6.0,1023.0,8.93,4,0,0.49999999999999994,0.8660254037844387,1.0,6.123233995736766e-17,0,0,1,0,105.0
2010,-7,-5.0,1024.0,10.72,0,0,0.49999999999999994,0.8660254037844387,0.9659258262890683,-0.25881904510252063,0,0,1,0,124.0
2010,-8,-6.0,1024.0,12.51,0,0,0.49999999999999994,0.8660254037844387,0.8660254037844387,-0.49999999999999983,0,0,1,0,120.0
2010,-7,-5.0,1025.0,14.3,0,0,0.49999999999999994,0.8660254037844387,0.7071067811865476,-0.7071067811865475,0,0,1,0,132.0
2010,-7,-5.0,1026.0,17.43,1,0,0.49999999999999994,0.8660254037844387,0.49999999999999994,-0.8660254037844387,0,0,1,0,140.0
2010,-8,-5.0,1026.0,20.56,0,0,0.49999999999999994,0.8660254037844387,0.258819045102521,-0.9659258262890682,0,0,1,0,152.0
2010,-8,-5.0,1026.0,23.69,0,0,0.49999999999999994,0.8660254037844387,1.2246467991473532e-16,-1.0,0,0,1,0,148.0
2010,-8,-5.0,1025.0,27.71,0,0,0.49999999999999994,0.8660254037844387,-0.2588190451025208,-0.9659258262890683,0,0,1,0,164.0
2010,-9,-5.0,1025.0,31.73,0,0,0.49999999999999994,0.8660254037844387,-0.4999999999999998,-0.8660254037844388,0,0,1,0,158.0
2010,-9,-5.0,1025.0,35.75,0,0,0.49999999999999994,0.8660254037844387,-0.7071067811865471,-0.7071067811865479,0,0,1,0,154.0
